,r.value.fit.vectors.r,fit.vectors.pvals
Sphingomonas endolithica,0.015143028,0.736
Sphingomonas endophytica,0.198966173,0.011
Sphingomonas faeni,0.174691881,0.014
Sphingomonas fennica,0.008937607,0.871
Sphingomonas flavalba,0.328752358,0.002
Sphingomonas flavescens,0.240338957,0.001
Sphingomonas formosensis,0.067183935,0.202
Sphingomonas gei,0.027742128,0.533
Sphingomonas gilva,0.083412974,0.169
Sphingomonas ginkgonis,0,1
Sphingomonas glacialis,0.368696971,0.001
Sphingomonas glaciei,0.189203914,0.011
Sphingomonas guangdongensis,0.490311027,0.001
Sphingomonas haloaromaticamans,0.031107354,0.493
Sphingomonas hankyongi,0.295421309,0.001
Sphingomonas hengshuiensis,0.420412104,0.001
Sphingomonas jaspsi,0.130647194,0.056
Sphingomonas jatrophae,0.047484031,0.352
Sphingomonas jejuensis,0.00270597,1
Sphingomonas kaistensis,0.016372276,0.684
Sphingomonas koreensis,0.136642068,0.038
Sphingomonas kyeonggiensis,0.001834278,0.975
Sphingomonas lacunae,0.241635951,0.001
Sphingomonas laterariae,0.046139783,0.36
Sphingomonas lutea,0.219141375,0.003
Sphingomonas lycopersici,0.088092388,0.139
Sphingomonas montana,0.19363529,0.015
Sphingomonas naasensis,0.00990042,0.805
Sphingomonas naphthae,0.310644709,0.002
Sphingomonas natans,0.325830826,0.001
Sphingomonas nostoxanthinifaciens,0.048211732,0.294
Sphingomonas oleivorans,0.318715022,0.002
Sphingomonas oligoaromativorans,0.151890962,0.028
Sphingomonas panacis,0.216709552,0.008
Sphingomonas parva,0.11980095,0.07
Sphingomonas paucimobilis,0.076907444,0.181
Sphingomonas phyllosphaerae,0.122987554,0.073
Sphingomonas piscis,0.092535174,0.126
Sphingomonas populi,0.087879626,0.14
Sphingomonas profundi,0.108949286,0.09
Sphingomonas pseudosanguinis,0.013228419,0.844
Sphingomonas psychrotolerans,0.274324022,0.002
Sphingomonas qomolangmaensis,0.301846848,0.002
Sphingomonas quercus,0.033317071,0.444
Sphingomonas rhizophila,0.050514051,0.355
Sphingomonas sabuli,0.120742283,0.056
Sphingomonas sanguinis,0.080943489,0.194
Sphingomonas sanxanigenens,0.158430087,0.034
Sphingomonas sediminicola,0.098539041,0.1
Sphingomonas segetis,0.189824478,0.009
Sphingomonas sinipercae,0.250517615,0.006
Sphingomonas solaris,0.013228419,0.844
Sphingomonas sp.,0.128933382,0.042
Sphingomonas sp. 28-62-11,0.154080046,0.022
Sphingomonas sp. 28-63-12,0.184111376,0.016
Sphingomonas sp. 324,0,1
Sphingomonas sp. 37zxx,0.123662053,0.058
Sphingomonas sp. 66-10,0.449264365,0.001
Sphingomonas sp. 7/4-4,0.074313838,0.203
Sphingomonas sp. A1,0.19890722,0.023
Sphingomonas sp. AOB5,0.371931426,0.001
Sphingomonas sp. AX6,0.12110473,0.055
Sphingomonas sp. BE123,0,1
Sphingomonas sp. BK235,0.117707363,0.057
Sphingomonas sp. BN140010,0.034384499,0.476
Sphingomonas sp. BT-65,0.003064812,0.934
Sphingomonas sp. C3-2,0.305350408,0.002
Sphingomonas sp. CFBP 13728,0.451000285,0.001
Sphingomonas sp. CFBP 8760,0.086011608,0.141
Sphingomonas sp. CL5.1,0.071809868,0.186
Sphingomonas sp. DG1-23,0.17916634,0.012
Sphingomonas sp. dw_22,0.105918092,0.104
Sphingomonas sp. ERG5,0,1
Sphingomonas sp. G-3-2-10,0.294509456,0.002
Sphingomonas sp. HDW15A,0.076403342,0.184
Sphingomonas sp. HF-S4,0.090712695,0.14
Sphingomonas sp. IC081,0.004290077,0.933
Sphingomonas sp. ID1715,0.170785204,0.017
Sphingomonas sp. J315,0.102730967,0.102
Sphingomonas sp. JC676,0.393107293,0.001
Sphingomonas sp. KC8,0.115261358,0.061
Sphingomonas sp. LaA6.9,0.332293063,0.004
Sphingomonas sp. Leaf22,0.559717151,0.001
Sphingomonas sp. Leaf25,0.139813398,0.043
Sphingomonas sp. Leaf33,0.235046816,0.005
Sphingomonas sp. Leaf339,0.075631868,0.138
Sphingomonas sp. LM7,0.054958262,0.3
Sphingomonas sp. LY160,0.128021642,0.055
Sphingomonas sp. LY54,0.041615142,0.394
Sphingomonas sp. MM-1,0.314181253,0.001
Sphingomonas sp. NBWT7,0.195799704,0.006
Sphingomonas sp. NFR04,0.041083807,0.441
Sphingomonas sp. NIC1,0.2478343,0.003
Sphingomonas sp. PAMC 26605,0.138454641,0.05
Sphingomonas sp. PAMC26645,0.279733495,0.002
Sphingomonas sp. PP-CE-1A-559,0.19890722,0.023
Sphingomonas sp. PR090111-T3T-6A,0.23966892,0.006
Sphingomonas sp. PsM26,0.19890722,0.023
Sphingomonas sp. R-74633,0.019663897,0.647
Sphingomonas sp. Root710,0.060458402,0.232
Sphingomonas sp. S1-29,0.147943844,0.037
Sphingomonas sp. S2M10,0.281786552,0.002
Sphingomonas sp. SCN 67-18,0.03135321,0.497
Sphingomonas sp. S-NIH.Pt15_0812,0.283199147,0.003
Sphingomonas sp. So64.6b,0.131423377,0.052
Sphingomonas sp. SORGH_AS_0789,0.19890722,0.023
Sphingomonas sp. SORGH_AS_0879,0.056257166,0.293
Sphingomonas sp. SORGH_AS_0950,0.059790379,0.274
Sphingomonas sp. STIS6.2,0.054384931,0.296
Sphingomonas sp. SUN039,0.03074367,0.498
Sphingomonas sp. TDK1,0.037629039,0.454
Sphingomonas sp. TF3,0.015480757,0.781
Sphingomonas sp. TX0522,0.110720632,0.086
Sphingomonas sp. URHD0057,0.346726868,0.001
Sphingomonas sp. YR710,0.019940617,0.652
Sphingomonas tagetis,0.161028402,0.026
Sphingomonas taxi,0.130028269,0.055
Sphingomonas telluris,0.134901872,0.046
Sphingomonas turrisvirgatae,0.010881159,0.82
Sphingomonas vulcanisoli,0.089102104,0.133
Sphingomonas xanthus,0.16681746,0.026
Sphingomonas xinjiangensis,0.092088116,0.126
Sphingopyxis alaskensis,0.152389039,0.03
Sphingopyxis flava,0.147528602,0.037
Sphingopyxis granuli,0.054958262,0.3
Sphingopyxis indica,0.012666202,0.774
Sphingopyxis italica,0.017097389,0.707
Sphingopyxis microcysteis,0.033718052,0.448
Sphingopyxis panaciterrulae,0.052936859,0.275
Sphingopyxis sp.,0.052879284,0.343
Sphingopyxis sp. C-1,0.042065652,0.403
Sphingopyxis sp. DBS4,0.013228419,0.844
Sphingopyxis sp. Geo48,0.055873563,0.299
Sphingopyxis sp. H085,0.09420009,0.115
Sphingopyxis sp. HIX,0,1
Sphingopyxis sp. JAI108,0.01206293,0.78
Sphingopyxis sp. MSC1_008,0.067795739,0.211
Sphingopyxis sp. RIFCSPHIGHO2_12_FULL_65_19,0.387332156,0.001
Sphingopyxis sp. Root154,0.042693228,0.396
Sphingopyxis sp. YF1,0.031575631,0.482
Sphingopyxis terrae,0.026811171,0.562
Sphingopyxis witflariensis,0.15608687,0.028
Sphingorhabdus contaminans,0.152578242,0.043
Sphingorhabdus sp.,0.196935071,0.011
Sphingorhabdus sp. EL138,0.095566415,0.116
Sphingosinicella flava,0.113609077,0.087
Sphingosinicella ginsenosidimutans,0.326210353,0.001
Sphingosinicella humi,0.030793007,0.505
Sphingosinicella microcystinivorans,0.068954872,0.2
Sphingosinicella sp.,0.034678022,0.484
Sphingosinicella sp. BN140058,0.112304035,0.078
Sphingosinicella sp. CPCC 101087,0.336315723,0.001
Sphingosinicella sp. GR2756,0.057405113,0.278
Sphingosinicella sp. LHD-64,0.33723155,0.001
Sphingosinicella sp. LY1275,0.018894781,0.666
Sphingosinicella sp. YJ22,0.25013501,0.003
Sphingosinicella terrae,0.340669351,0.001
Spinactinospora alkalitolerans,0.332299052,0.002
Spiribacter halobius,0.619274392,0.001
Spiribacter salinus,0.064381488,0.267
Spiribacter vilamensis,0.077937834,0.16
Spirilliplanes yamanashiensis,0.532516886,0.001
Spirillospora albida,0.233937181,0.006
Spirillospora sp.,0.291935999,0.001
Spirillospora sp. NBC_01491,0.175080305,0.025
Spirirestis rafaelensis,0.194380827,0.015
Spirochaetaceae bacterium,0.010797567,0.775
Spirochaetales bacterium,0.021172254,0.638
Spirochaetes bacterium DG_61,0.206747465,0.012
Spirochaetes bacterium GWB1_59_5,0.175613433,0.016
Spirochaetes bacterium GWB1_66_5,0,1
Spirochaetes bacterium RBG_13_68_11,0.099520603,0.097
Spirochaetes bacterium RIFOXYC1_FULL_54_7,0.376522025,0.001
Spirochaetia bacterium,0.107434789,0.078
Spirochaetota bacterium,0.157831426,0.033
Spirosoma aerolatum,0.054958262,0.3
Spirosoma arboris,0.026370874,0.556
Spirosoma aureum,0.136701682,0.042
Spirosoma endbachense,0.208979472,0.005
Spirosoma linguale,0.061822308,0.264
Spirosoma oryzicola,0.542100936,0.001
Spirosoma panaciterrae,0.046636254,0.353
Spirosoma profusum,0.03264789,0.493
Spirosoma sp.,0.115686072,0.085
Spirosoma sp. KCTC 42546,0.037971491,0.369
Spirosoma sp. KNUC1025,0.120291773,0.054
Spirosoma sp. KUDC1026,0.19890722,0.023
Spirosoma terrae,0.036172752,0.451
Spirosoma utsteinense,0.049051886,0.327
Spirosoma validum,0.19890722,0.023
Spirulina major,0.057133984,0.287
Spirulina sp. 06S082,0.148510902,0.024
Spirulina sp. CS-785/01,0,1
Spirulinaceae cyanobacterium SM2_1_0,0.197015879,0.012
Spongiactinospora gelatinilytica,0.004435734,0.91
Spongiactinospora rosea,0.078234758,0.179
Spongiactinospora sp. TRM90649,0.417924067,0.001
Spongiibacter sp. UBA6593,0,1
Spongiibacteraceae bacterium,0.30225568,0.001
Sporichthya polymorpha,0.053712075,0.302
Sporichthya sp.,0.608955252,0.001
Sporichthyaceae bacterium,0.048942434,0.347
Sporocytophaga myxococcoides,0.323733434,0.004
Sporocytophaga sp.,0.05283821,0.279
Sporolactobacillaceae bacterium,0.039728097,0.412
Sporolactobacillus pectinivorans,0.017396743,0.685
Sporolactobacillus terrae,0.030297682,0.502
Sporomusa ovata,0.318960152,0.001
Sporomusa sp. KB1,0.045175109,0.389
Sporomusa termitida,0.01719758,0.74
Sporomusaceae bacterium,0.014737846,0.721
Sporosarcina aquimarina,0.019102591,0.663
Sporosarcina beigongshangi,0.264047644,0.003
Sporosarcina globispora,0.247676184,0.006
Sporosarcina highlanderae,0.328709377,0.002
Sporosarcina jiandibaonis,0.229222017,0.004
Sporosarcina koreensis,0.332448504,0.003
Sporosarcina limicola,0.26561684,0.003
Sporosarcina luteola,0.307239812,0.003
Sporosarcina newyorkensis,0.208245013,0.01
Sporosarcina pasteurii,0.252754477,0.003
Sporosarcina psychrophila,0.247040573,0.004
Sporosarcina quadrami,0.239072716,0.006
Sporosarcina sp.,0.305603462,0.002
Sporosarcina sp. 6E9,0.222938193,0.004
Sporosarcina sp. ACRSL,0.238543392,0.004
Sporosarcina sp. ACRSM,0.267891151,0.002
Sporosarcina sp. ANT_H38,0.255376408,0.003
Sporosarcina sp. BP05,0.258386535,0.004
Sporosarcina sp. E16_3,0.32175915,0.002
Sporosarcina sp. E16_8,0.318824156,0.003
Sporosarcina sp. G11-34,0.313155001,0.003
Sporosarcina sp. HYO08,0.284830443,0.002
Sporosarcina sp. JAI121,0.313694967,0.003
Sporosarcina sp. Marseille-Q4063,0.225721196,0.004
Sporosarcina sp. Marseille-Q4943,0.342204253,0.003
Sporosarcina sp. NCCP-2222,0.290305192,0.003
Sporosarcina sp. NCCP-2716,0.202962602,0.009
Sporosarcina sp. P16b,0.401981876,0.001
Sporosarcina sp. P18a,0.260831082,0.003
Sporosarcina sp. P35,0.070082443,0.209
Sporosarcina sp. PTS2304,0.244270307,0.003
Sporosarcina sp. resist,0.270727186,0.002
Sporosarcina sp. T2O-4,0.241065911,0.003
Sporosarcina sp. Te-1,0.201162701,0.008
Sporosarcina sp. YIM B06819,0.266340636,0.003
Sporosarcina thermotolerans,0.174236909,0.022
Sporosarcina ureae,0.100624128,0.103
Sporosarcina ureilytica,0.31708971,0.002
Stackebrandtia albiflava,0.138605233,0.042
Stackebrandtia endophytica,0.003099056,0.938
Stackebrandtia nassauensis,0.093551011,0.122
Stackebrandtia sp.,0.134320901,0.05
Stagnihabitans tardus,0.044518695,0.367
Stagnimonas aquatica,0.155059003,0.034
Stagnimonas sp.,0.437948571,0.001
Stakelama marina,0.21400729,0.006
Stakelama pacifica,0.038022011,0.356
Stakelama sp. W311,0.062154325,0.275
Staphylococcus aureus,0.196283308,0.015
Staphylococcus capitis,0.140731874,0.038
Staphylococcus coagulans,0.117449529,0.054
Staphylococcus cohnii,0.023205837,0.607
Staphylococcus epidermidis,0.415104826,0.001
Staphylococcus haemolyticus,0.024324782,0.581
Staphylococcus hominis,0.013975194,0.826
Staphylococcus pseudintermedius,0.00605948,0.868
Staphylococcus succinus,0,1
Staphylococcus warneri,0.085308242,0.142
Staphylospora marina,0.013978692,0.8
Stappia albiluteola,0.074507401,0.213
Stappia indica,0.405006397,0.001
Stappia sediminis,0.006937711,0.859
Stappia sp.,0.031166306,0.511
Stappia sp. 28M-7,0.02609186,0.58
Stappia sp. MMSF_3263,0.047591673,0.326
Stappia sp. TSB10GB4,0.217957558,0.006
Stappia taiwanensis,0.046504883,0.345
Starkeya nomas,0.124013176,0.061
Starkeya sp.,0.425374669,0.001
Starkeya sp. ORNL1,0.285168509,0.003
Stella humosa,0.322419889,0.001
Stella sp. ATCC 35155,0.476909793,0.001
Stella vacuolata,0.089441331,0.164
Stellaceae bacterium,0.458111142,0.001
Stenomitos frigidus,0.429604533,0.001
Stenomitos rutilans,0.366159672,0.001
Stenotrophobium rhamnosiphilum,0.235529887,0.004
Stenotrophobium sp.,0.133247415,0.05
Stenotrophomonas acidaminiphila,0.092825696,0.112
Stenotrophomonas geniculata,0.03866253,0.429
Stenotrophomonas indicatrix,0.202709605,0.003
Stenotrophomonas lacuserhaii,0.050542795,0.339
Stenotrophomonas maltophilia,0.015505108,0.73
Stenotrophomonas nitritireducens,0.127059576,0.063
Stenotrophomonas panacihumi,0.020396357,0.631
Stenotrophomonas pictorum,0.073877981,0.153
Stenotrophomonas sp.,0.072105915,0.182
Stenotrophomonas sp. 24(2023),0.024885687,0.579
Stenotrophomonas sp. 704A1,0.21059876,0.001
Stenotrophomonas sp. AS012628,0.041144851,0.404
Stenotrophomonas sp. DDT-1,0.013687543,0.735
Stenotrophomonas sp. GbtcB23,0.012336789,0.793
Stenotrophomonas sp. HITSZ_GD,0.109381677,0.09
Stenotrophomonas sp. MB339,0.19890722,0.023
Stenotrophomonas sp. MYb238,0,1
Stenotrophomonas sp. PS02297,0.362603776,0.001
Stenotrophomonas sp. SY1,0.073877981,0.153
Stenotrophomonas sp. Y6,0.191685954,0.016
Stenotrophomonas sp. YIM B06876,0.19890722,0.023
Steroidobacter agaridevorans,0.319666732,0.001
Steroidobacter cummioxidans,0.149646149,0.034
Steroidobacter denitrificans,0.118204328,0.064
Steroidobacter gossypii,0.192931909,0.012
Steroidobacter sp.,0.431582025,0.001
Steroidobacteraceae bacterium,0.209346676,0.01
Sterolibacteriaceae bacterium,0.032844357,0.503
Sterolibacterium denitrificans,0,1
Sterolibacterium sp.,0.012498416,0.813
Stieleria tagensis,0.104643821,0.104
Stieleria varia,0.053585681,0.315
Stigmatella ashevillena,0.111096603,0.093
Stigmatella aurantiaca,0.114000006,0.091
Stigmatella erecta,0.085678208,0.122
Stigmatella hybrida,0.087319226,0.126
Stigonema ocellatum,0.030442726,0.529
Streptacidiphilus anmyonensis,0.118226902,0.075
Streptacidiphilus carbonis,0.236493065,0.004
Streptacidiphilus fuscans,0.185137519,0.019
Streptacidiphilus jiangxiensis,0.183935411,0.015
Streptacidiphilus melanogenes,0.430254668,0.001
Streptacidiphilus neutrinimicus,0,1
Streptacidiphilus pinicola,0.10523228,0.096
Streptacidiphilus rugosus,0.335783008,0.001
Streptacidiphilus sp. 4-A2,0,1
Streptacidiphilus sp. ASG 303,0.114005089,0.078
Streptacidiphilus sp. P02-A3a,0.059863109,0.265
Streptacidiphilus sp. PB12-B1b,0.209247808,0.003
Streptantibioticus cattleyicolor,0.136171429,0.053
Streptantibioticus ferralitis,0.201736135,0.016
Streptantibioticus parmotrematis,0.341901724,0.001
Streptantibioticus rubrisoli,0.147961472,0.036
Streptantibioticus silvisoli,0.20482265,0.008
Streptoalloteichus hindustanus,0.081487271,0.174
Streptoalloteichus tenebrarius,0.048157228,0.364
Streptobacillus moniliformis,0.25655895,0.002
Streptococcus agalactiae,0.202336263,0.007
Streptococcus anginosus,0.028669047,0.541
Streptococcus intermedius,0.132197322,0.048
Streptococcus oralis,0.110780971,0.084
Streptococcus parasanguinis,0,1
Streptococcus pneumoniae,0.251647298,0.006
Streptococcus pseudopneumoniae,0.144043433,0.031
Streptococcus pyogenes,0.096682507,0.113
Streptococcus sp.,0.035389163,0.471
Streptococcus sp. CF8-6,0,1
Streptococcus suis,0.022265191,0.65
Streptomonospora alba,0.073877981,0.153
Streptomonospora mangrovi,0.249175017,0.004
Streptomonospora nanhaiensis,0.389712656,0.001
Streptomonospora salina,0.302350251,0.002
Streptomonospora sp. DSM 45055,0.118409063,0.07
Streptomonospora sp. PA3,0.028567257,0.547
Streptomyces abikoensis,0.195765248,0.009
Streptomyces abyssalis,0.026942759,0.56
Streptomyces achromogenes,0.088576717,0.126
Streptomyces acidipaludis,0.133049284,0.049
Streptomyces acidiscabies,0.266414143,0.002
Streptomyces actinomycinicus,0.495981108,0.001
Streptomyces actuosus,0.003412532,0.932
Streptomyces aculeolatus,0.488036618,0.001
Streptomyces adelaidensis,0.038667314,0.444
Streptomyces adustus,0.213257908,0.011
Streptomyces afghaniensis,0.178651717,0.015
Streptomyces africanus,0.130523122,0.059
Streptomyces agglomeratus,0.263536826,0.001
Streptomyces aidingensis,0.007240074,0.898
Streptomyces akebiae,0.139796026,0.042
Streptomyces alanosinicus,0.066154207,0.239
Streptomyces albaduncus,0.027830928,0.537
Streptomyces albicerus,0.093392774,0.113
Streptomyces albidochromogenes,0.02745433,0.554
Streptomyces albidoflavus,0.054953957,0.277
Streptomyces albidus (ex Kaewkla and Franco 2022),0.093898412,0.126
Streptomyces albiflavescens,0.276994651,0.002
Streptomyces albiflaviniger,0.068974011,0.215
Streptomyces albipurpureus,0.161542204,0.041
Streptomyces albireticuli,0.07147234,0.205
Streptomyces alboflavus,0.017247227,0.705
Streptomyces albogriseolus,0.146522144,0.036
Streptomyces albospinus,0.013978692,0.8
Streptomyces alboverticillatus,0.041171659,0.399
Streptomyces albus,0.084441602,0.151
Streptomyces alfalfae,0.1591061,0.027
Streptomyces alkaliterrae,0.120595722,0.068
Streptomyces anandii,0.121987932,0.068
Streptomyces anatolicus,0.185196604,0.013
Streptomyces angustmyceticus,0.19890722,0.023
Streptomyces anthocyanicus,0,1
Streptomyces antibioticus,0.212758995,0.009
Streptomyces antimycoticus,0.189056695,0.006
Streptomyces anulatus,0.085702019,0.146
Streptomyces apocyni,0.064740027,0.24
Streptomyces apricus,0.166674449,0.024
Streptomyces arenae,0.387713117,0.001
Streptomyces argyrophyllae,0.13748193,0.055
Streptomyces armeniacus,0.025098503,0.574
Streptomyces asiaticus,0.149923214,0.048
Streptomyces asoensis,0.206922056,0.006
Streptomyces atratus,0.236105756,0.007
Streptomyces atriruber,0.032980036,0.471
Streptomyces atroolivaceus,0.067556244,0.219
Streptomyces aurantiacus,0.01317035,0.731
Streptomyces aurantiogriseus,0.1519914,0.026
Streptomyces aureocirculatus,0.005523205,0.917
Streptomyces aureoverticillatus,0.148769157,0.041
Streptomyces aureus,0.162915709,0.027
Streptomyces avermitilis,0.406497582,0.001
Streptomyces avicenniae,0.154859912,0.046
Streptomyces avidinii,0.248349512,0.006
Streptomyces azureus,0.023614377,0.652
Streptomyces bambusae,0.325583142,0.001
Streptomyces barkulensis,0.016414964,0.72
Streptomyces bathyalis,0.018946725,0.668
Streptomyces beigongshangae,0.314867416,0.001
Streptomyces beihaiensis,0.183110539,0.016
Streptomyces beijiangensis,0.209434452,0.013
Streptomyces benahoarensis,0.117451261,0.064
Streptomyces berlinensis,0.214231076,0.005
Streptomyces bernensis,0.082367526,0.139
Streptomyces bicolor,0.117114268,0.06
Streptomyces bingchenggensis,0.085339126,0.15
Streptomyces blattellae,0.101880814,0.086
Streptomyces bobili,0.007381566,0.891
Streptomyces bohaiensis,0.022687693,0.627
Streptomyces boluensis,0.21713929,0.005
Streptomyces botrytidirepellens,0.0411584,0.415
Streptomyces brasiliensis,0.256370855,0.002
Streptomyces brevispora,0.005499539,0.927
Streptomyces broussonetiae,0.101134861,0.095
Streptomyces buecherae,0.019262973,0.682
Streptomyces bungoensis,0.32293753,0.001
Streptomyces cacaoi,0.173058985,0.028
Streptomyces caelestis,0.261274753,0.003
Streptomyces californicus,0.02603568,0.532
Streptomyces camelliae,0.001111577,0.979
Streptomyces camponoticapitis,0.108883896,0.094
Streptomyces caniferus,0.102834544,0.084
Streptomyces caniscabiei,0.166246938,0.025
Streptomyces canus,0.209718327,0.004
Streptomyces capitiformicae,0.150634872,0.043
Streptomyces capoamus,0.223532932,0.004
Streptomyces carminius,0.05303196,0.272
Streptomyces carpinensis,0.422616719,0.001
Streptomyces catenulae,0.068062278,0.228
Streptomyces cavernae,0.200012251,0.009
Streptomyces cavourensis,0.425262988,0.001
Streptomyces cellostaticus,0.27741844,0.001
Streptomyces celluloflavus,0.076538403,0.165
Streptomyces cellulosae,0.047132509,0.321
Streptomyces chartreusis,0.014472666,0.783
Streptomyces chattanoogensis,0,1
Streptomyces chiangmaiensis,0.038504023,0.429
Streptomyces chilikensis,0.135034114,0.056
Streptomyces chitinivorans,0.158107748,0.017
Streptomyces chrestomyceticus,0.065800005,0.235
Streptomyces chromofuscus,0.152346107,0.032
Streptomyces chryseus,0.056861006,0.247
Streptomyces chumphonensis,0.170426716,0.018
Streptomyces cinerochromogenes,0.134388317,0.051
Streptomyces cinnabarinus,0.110623773,0.079
Streptomyces cinnamoneus,0.024571312,0.582
Streptomyces cirratus,0.041014196,0.429
Streptomyces clavuligerus,0.146958872,0.034
Streptomyces coacervatus,0.116783164,0.071
Streptomyces coelicolor,0.007178141,0.864
Streptomyces coeruleorubidus,0.23519609,0.004
Streptomyces coffeae,0.111476222,0.083
Streptomyces collinus,0.138334499,0.04
Streptomyces colonosanans,0.08940874,0.136
Streptomyces corallincola,0.087547041,0.14
Streptomyces coryli,0.010070833,0.806
Streptomyces cupreus,0.042493927,0.362
Streptomyces curacoi,0.035078794,0.503
Streptomyces cyaneochromogenes,0.033635294,0.458
Streptomyces cyaneogriseus,0.32537097,0.001
Streptomyces cyaneus,0.222009956,0.01
Streptomyces cyanogenus,0.029645093,0.525
Streptomyces cylindrosporus,0.079810504,0.16
Streptomyces cynarae,0.014384227,0.707
Streptomyces daghestanicus,0.042550378,0.383
Streptomyces daliensis,0.069453941,0.216
Streptomyces dangxiongensis,0.034358623,0.455
Streptomyces davaonensis,0.000179194,0.999
Streptomyces deccanensis,0.076353818,0.176
Streptomyces decoyicus,0.214723206,0.005
Streptomyces demainii,0.024284326,0.631
Streptomyces dengpaensis,0.00270597,1
Streptomyces diacarni,0.146315777,0.036
Streptomyces diastaticus,0.240001513,0.002
Streptomyces diastatochromogenes,0.221494492,0.008
Streptomyces dioscori,0.243445617,0.003
Streptomyces drozdowiczii,0.143266357,0.034
Streptomyces durbertensis,0.070431584,0.209
Streptomyces durmitorensis,0.1088748,0.084
Streptomyces durocortorensis,0.011397149,0.848
Streptomyces dysideae,0.134094099,0.064
Streptomyces echinoruber,0.055673644,0.277
Streptomyces endocoffeicus,0.079783872,0.166
Streptomyces erythrochromogenes,0.001263738,0.974
Streptomyces eurocidicus,0.518830261,0.001
Streptomyces europaeiscabiei,0.129924722,0.044
Streptomyces ferrugineus,0.306097927,0.001
Streptomyces ficellus,0.044120149,0.395
Streptomyces filamentosus,0.002863042,0.979
Streptomyces fildesensis,0.121658359,0.074
Streptomyces filipinensis,0.03582146,0.41
Streptomyces finlayi,0.023357881,0.605
Streptomyces flaveolus,0.064410297,0.213
Streptomyces flaveus,0.438891047,0.001
Streptomyces flavidovirens,0.019663897,0.647
Streptomyces flavochromogenes,0.311215294,0.001
Streptomyces flavofungini,0.429148744,0.001
Streptomyces fodineus,0.001760075,0.972
Streptomyces formicae,0.017951829,0.69
Streptomyces fradiae,0.111577866,0.07
Streptomyces fragilis,0.085679744,0.142
Streptomyces fructofermentans,0.026050185,0.566
Streptomyces fulvorobeus,0.262576883,0.002
Streptomyces fulvoviolaceus,0.236337157,0.003
Streptomyces fumanus,0.020689211,0.648
Streptomyces fumigatiscleroticus,0.289141413,0.001
Streptomyces fuscichromogenes,0.207666978,0.01
Streptomyces fuscigenes,0.07079809,0.2
Streptomyces fuscus,0.511562626,0.001
Streptomyces gardneri,0.176708199,0.015
Streptomyces gelaticus,0.119735329,0.062
Streptomyces genisteinicus,0.074595012,0.185
Streptomyces geranii,0.475650801,0.001
Streptomyces geysiriensis,0.351954817,0.001
Streptomyces gilvifuscus,0.186579409,0.015
Streptomyces gilvosporeus,0.119224824,0.07
Streptomyces glaucescens,0.037063345,0.425
Streptomyces glebosus,0.002325714,0.957
Streptomyces glomeratus,0.30020322,0.001
Streptomyces gobiensis,0.383619816,0.001
Streptomyces gossypii,0.016548168,0.705
Streptomyces gougerotii,0.046055827,0.338
Streptomyces graminilatus,0.126014258,0.064
Streptomyces graminofaciens,0.235652605,0.009
Streptomyces griseicoloratus,0.135369675,0.054
Streptomyces griseiscabiei,0.130144157,0.05
Streptomyces griseoaurantiacus,0.05824661,0.247
Streptomyces griseocarneus,0.342204988,0.001
Streptomyces griseochromogenes,0.137456631,0.049
Streptomyces griseoflavus,0.188860432,0.015
Streptomyces griseofuscus,0.002863042,0.979
Streptomyces griseoloalbus,0.061662215,0.274
Streptomyces griseolus,0.090637695,0.122
Streptomyces griseoluteus,0.10644612,0.095
Streptomyces griseomycini,0.02159014,0.64
Streptomyces griseorubens,0.072365334,0.175
Streptomyces griseoruber,0.164169753,0.017
Streptomyces griseorubiginosus,0.046766887,0.322
Streptomyces griseosporeus,0.042218499,0.382
Streptomyces griseoviridis,0.287334122,0.001
Streptomyces griseus,0.13931246,0.044
Streptomyces guryensis,0.174176968,0.02
Streptomyces hainanensis,0.078063718,0.191
Streptomyces halobius,0.075484521,0.177
Streptomyces heilongjiangensis,0.085124939,0.14
Streptomyces herbicida,0.33481414,0.002
Streptomyces himalayensis,0.134179701,0.057
Streptomyces himastatinicus,0.122325961,0.072
Streptomyces hiroshimensis,0.006515732,0.912
Streptomyces hirsutus,0.176932863,0.019
Streptomyces hokutonensis,0.119105044,0.057
Streptomyces hoynatensis,0.046911756,0.355
Streptomyces humicola,0.081390942,0.163
Streptomyces humidus,0.053956925,0.299
Streptomyces hyaluromycini,0.300365972,0.002
Streptomyces hyderabadensis,0.085602952,0.133
Streptomyces hydrogenans,0.037543096,0.42
Streptomyces hygroscopicus,0.19915087,0.014
Streptomyces iakyrus,0.150209995,0.031
Streptomyces iconiensis,0.01453069,0.783
Streptomyces incarnatus,0.308208443,0.001
Streptomyces indicus,0.074637343,0.197
Streptomyces inhibens,0.01952467,0.67
Streptomyces ipomoeae,0.033858287,0.488
Streptomyces iranensis,0.071416352,0.183
Streptomyces janthinus,0.124200066,0.068
Streptomyces javensis,0.002739791,0.948
Streptomyces jeddahensis,0.164275458,0.027
Streptomyces jietaisiensis,0.166239042,0.019
Streptomyces jumonjinensis,0.083230444,0.15
Streptomyces justiciae,0.144279199,0.041
Streptomyces kanasensis,0.176516964,0.016
Streptomyces kaniharaensis,0.356331952,0.001
Streptomyces katrae,0.011701447,0.837
Streptomyces kebangsaanensis,0.034894793,0.462
Streptomyces klenkii,0.187204546,0.006
